Timestamp_Local,Price_Cent_kWh,Price_EUR_kWh,Price_EUR_MWh,Hour,Quarter_Hour
2025-06-29 00:00:00,11.408,0.11408,114.08,00,00:00
2025-06-29 00:15:00,11.408,0.11408,114.08,00,00:15
2025-06-29 00:30:00,11.408,0.11408,114.08,00,00:30
2025-06-29 00:45:00,11.408,0.11408,114.08,00,00:45
2025-06-29 01:00:00,10.73,0.1073,107.3,01,01:00
2025-06-29 01:15:00,10.73,0.1073,107.3,01,01:15
2025-06-29 01:30:00,10.73,0.1073,107.3,01,01:30
2025-06-29 01:45:00,10.73,0.1073,107.3,01,01:45
2025-06-29 02:00:00,10.759,0.10759,107.59,02,02:00
2025-06-29 02:15:00,10.759,0.10759,107.59,02,02:15
2025-06-29 02:30:00,10.759,0.10759,107.59,02,02:30
2025-06-29 02:45:00,10.759,0.10759,107.59,02,02:45
2025-06-29 03:00:00,10.418,0.10418,104.18,03,03:00
2025-06-29 03:15:00,10.418,0.10418,104.18,03,03:15
2025-06-29 03:30:00,10.418,0.10418,104.18,03,03:30
2025-06-29 03:45:00,10.418,0.10418,104.18,03,03:45
2025-06-29 04:00:00,10.224,0.10224,102.24,04,04:00
2025-06-29 04:15:00,10.224,0.10224,102.24,04,04:15
2025-06-29 04:30:00,10.224,0.10224,102.24,04,04:30
2025-06-29 04:45:00,10.224,0.10224,102.24,04,04:45
2025-06-29 05:00:00,10.236,0.10236,102.36,05,05:00
2025-06-29 05:15:00,10.236,0.10236,102.36,05,05:15
2025-06-29 05:30:00,10.236,0.10236,102.36,05,05:30
2025-06-29 05:45:00,10.236,0.10236,102.36,05,05:45
2025-06-29 06:00:00,10.361,0.10361,103.61,06,06:00
2025-06-29 06:15:00,10.361,0.10361,103.61,06,06:15
2025-06-29 06:30:00,10.361,0.10361,103.61,06,06:30
2025-06-29 06:45:00,10.361,0.10361,103.61,06,06:45
2025-06-29 07:00:00,8.933,0.08933,89.33,07,07:00
2025-06-29 07:15:00,8.933,0.08933,89.33,07,07:15
2025-06-29 07:30:00,8.933,0.08933,89.33,07,07:30
2025-06-29 07:45:00,8.933,0.08933,89.33,07,07:45
2025-06-29 08:00:00,5.683,0.05683,56.83,08,08:00
2025-06-29 08:15:00,5.683,0.05683,56.83,08,08:15
2025-06-29 08:30:00,5.683,0.05683,56.83,08,08:30
2025-06-29 08:45:00,5.683,0.05683,56.83,08,08:45
2025-06-29 09:00:00,0.132,0.00132,1.32,09,09:00
2025-06-29 09:15:00,0.132,0.00132,1.32,09,09:15
2025-06-29 09:30:00,0.132,0.00132,1.32,09,09:30
2025-06-29 09:45:00,0.132,0.00132,1.32,09,09:45
2025-06-29 10:00:00,0.0,0.0,0.0,10,10:00
2025-06-29 10:15:00,0.0,0.0,0.0,10,10:15
2025-06-29 10:30:00,0.0,0.0,0.0,10,10:30
2025-06-29 10:45:00,0.0,0.0,0.0,10,10:45
2025-06-29 11:00:00,-0.056,-0.00056,-0.56,11,11:00
2025-06-29 11:15:00,-0.056,-0.00056,-0.56,11,11:15
2025-06-29 11:30:00,-0.056,-0.00056,-0.56,11,11:30
2025-06-29 11:45:00,-0.056,-0.00056,-0.56,11,11:45
2025-06-29 12:00:00,-0.522,-0.00522,-5.22,12,12:00
2025-06-29 12:15:00,-0.522,-0.00522,-5.22,12,12:15
2025-06-29 12:30:00,-0.522,-0.00522,-5.22,12,12:30
2025-06-29 12:45:00,-0.522,-0.00522,-5.22,12,12:45
2025-06-29 13:00:00,-1.685,-0.01685,-16.85,13,13:00
2025-06-29 13:15:00,-1.685,-0.01685,-16.85,13,13:15
2025-06-29 13:30:00,-1.685,-0.01685,-16.85,13,13:30
2025-06-29 13:45:00,-1.685,-0.01685,-16.85,13,13:45
2025-06-29 14:00:00,-1.075,-0.01075,-10.75,14,14:00
2025-06-29 14:15:00,-1.075,-0.01075,-10.75,14,14:15
2025-06-29 14:30:00,-1.075,-0.01075,-10.75,14,14:30
2025-06-29 14:45:00,-1.075,-0.01075,-10.75,14,14:45
2025-06-29 15:00:00,-0.155,-0.00155,-1.55,15,15:00
2025-06-29 15:15:00,-0.155,-0.00155,-1.55,15,15:15
2025-06-29 15:30:00,-0.155,-0.00155,-1.55,15,15:30
2025-06-29 15:45:00,-0.155,-0.00155,-1.55,15,15:45
2025-06-29 16:00:00,0.0,0.0,0.0,16,16:00
2025-06-29 16:15:00,0.0,0.0,0.0,16,16:15
2025-06-29 16:30:00,0.0,0.0,0.0,16,16:30
2025-06-29 16:45:00,0.0,0.0,0.0,16,16:45
2025-06-29 17:00:00,3.768,0.03768,37.68,17,17:00
2025-06-29 17:15:00,3.768,0.03768,37.68,17,17:15
2025-06-29 17:30:00,3.768,0.03768,37.68,17,17:30
2025-06-29 17:45:00,3.768,0.03768,37.68,17,17:45
2025-06-29 18:00:00,10.178,0.10178,101.78,18,18:00
2025-06-29 18:15:00,10.178,0.10178,101.78,18,18:15
2025-06-29 18:30:00,10.178,0.10178,101.78,18,18:30
2025-06-29 18:45:00,10.178,0.10178,101.78,18,18:45
2025-06-29 19:00:00,12.257,0.12257,122.57,19,19:00
2025-06-29 19:15:00,12.257,0.12257,122.57,19,19:15
2025-06-29 19:30:00,12.257,0.12257,122.57,19,19:30
2025-06-29 19:45:00,12.257,0.12257,122.57,19,19:45
2025-06-29 20:00:00,13.438,0.13438,134.38,20,20:00
2025-06-29 20:15:00,13.438,0.13438,134.38,20,20:15
2025-06-29 20:30:00,13.438,0.13438,134.38,20,20:30
2025-06-29 20:45:00,13.438,0.13438,134.38,20,20:45
2025-06-29 21:00:00,14.168,0.14168,141.68,21,21:00
2025-06-29 21:15:00,14.168,0.14168,141.68,21,21:15
2025-06-29 21:30:00,14.168,0.14168,141.68,21,21:30
2025-06-29 21:45:00,14.168,0.14168,141.68,21,21:45
2025-06-29 22:00:00,13.648,0.13648,136.48,22,22:00
2025-06-29 22:15:00,13.648,0.13648,136.48,22,22:15
2025-06-29 22:30:00,13.648,0.13648,136.48,22,22:30
2025-06-29 22:45:00,13.648,0.13648,136.48,22,22:45
2025-06-29 23:00:00,12.12,0.1212,121.2,23,23:00
2025-06-29 23:15:00,12.12,0.1212,121.2,23,23:15
2025-06-29 23:30:00,12.12,0.1212,121.2,23,23:30
2025-06-29 23:45:00,12.12,0.1212,121.2,23,23:45
